id,title,album,album_hidden,attribute
1,ドッキング,隠しトラック,「FLAME VEIN」,隠し
2,DANNY,隠しトラック,「FLAME VEIN」,隠し
3,マイベストフレンズ,隠しトラック,「FLAME VEIN」,隠し
4,さよならナイ,隠しトラック,「LAMP」,隠し
5,THE LIVING DEAD,隠しトラック,「THE LIVING DEAD」,隠し
6,オゴマメ,隠しトラック,「ダイヤモンド」,隠し
7,Ｈ･Ｉ･Ｒ･Ｏ･Ｗ･Ａ･Ｋ･Ｉ,隠しトラック,「天体観測」,隠し
8,LOVE,隠しトラック,「ハルジオン」,隠し
9,in my heart,隠しトラック,「jupiter」,隠し
10,in my nikke,隠しトラック,「jupiter」,隠し
11,Tinpost*Uncle on,隠しトラック,「スノースマイル」,隠し
12,おもち,隠しトラック,「ロストマン」,隠し
13,喝采～花になれ～,隠しトラック,「アルエ」,隠し
14,シャドー,隠しトラック,「オンリー ロンリー グローリー」,隠し
15,O・TO・GA・MEはーと,隠しトラック,「ユグドラシル」,隠し
16,星のアルペジオ,隠しトラック,「車輪の唄」,隠し
17,いか,隠しトラック,「プラネタリウム」,隠し
18,ワッショイ,隠しトラック,「supernova/カルマ」,隠し＊通常版
19,ドスコイ,隠しトラック,「カルマ/supernova」,隠し＊限定版
20,おるすばん,隠しトラック,「涙のふるさと」,隠し
21,柿,隠しトラック,「花の名」,隠し
22,スターダストダンスホール,隠しトラック,「メーデー」,隠し
23,BELIEVE,隠しトラック,「orbital period」,隠し
24,BELIEVE デモテープ編,隠しトラック,「Present from you」,隠し
25,new world サミット,隠しトラック,「R.I.P/Merry Christmas」,隠し
26,ラブ・トライアングル 君と僕と委員長ver.,隠しトラック,「HAPPY」,隠し
27,三人のおじさん,隠しトラック,「魔法の料理～君から君へ～」,隠し
28,油,隠しトラック,「宇宙飛行士への手紙 / モーターサイクル」,隠し
29,OFCOURSE,隠しトラック,「COSMONAUT」,隠し
30,仕事 ?Job?,隠しトラック,「友達の唄」,隠し
31,恋の陰陽師,隠しトラック,「ゼロ」,隠し＊通常版
32,新鮮・お野菜王国の伝説のテーマ,隠しトラック,「ゼロ」,隠し＊限定版
33,BURA-BURA GIRL,隠しトラック,「グッドラック」,隠し＊通常版
34,BURA-BURA BOY,隠しトラック,「グッドラック」,隠し＊限定版
35,play sports,隠しトラック,「firefly」,隠し
36,faraway,隠しトラック,BUMP OF CHICKEN I ＜1999-2004＞,隠し
37,くちびる,隠しトラック,BUMP OF CHICKEN II ＜2005-2010＞,隠し
38,SHODO ～書道～,隠しトラック,「RAY」,隠し
39,オマール,隠しトラック,"「Hello,world!/コロニー」",隠し
40,TO.I.KI,隠しトラック,「Butterflies」,隠し
41,山よ,隠しトラック,「話がしたいよ/シリウス/Spica」,隠し
42,ぱやぱぱエース,隠しトラック,aurora arc,隠し
43,鋼鉄のバロング,隠しトラック,「アカシア/Gravity」,隠し
44,やさしごん,隠しトラック,「なないろ」,隠し
